DateTime,open,high,low,close,volume,quoteVolume,weightedAverage,date
4/16/2017 12:00:00,1207.31,1210.388144,1201.11000008,1206.2100017,490883.90310309,407.05459544,1205.94118971,1492344000
4/16/2017 16:00:00,1206.2100017,1217.00000001,1206.2100015,1214.99999999,878177.67458214,724.46029042,1212.18193211,1492358400
4/16/2017 20:00:00,1214.10989999,1216,1210.16762594,1212.5,429857.97316899,354.08612678,1213.99270024,1492372800
4/17/2017 0:00:00,1212.56,1212.56,1205.26,1211.5,524432.23612491,433.74673606,1209.07477227,1492387200
4/17/2017 4:00:00,1211.5,1212.05047172,1205.99,1208.0188292,525166.23674889,434.44083036,1208.83259594,1492401600
4/17/2017 8:00:00,1208.1188292,1217,1206,1209.49612818,901238.29146005,744.06086862,1211.2426946,1492416000
4/17/2017 12:00:00,1209.49612818,1233.57599553,1206,1228.88888886,1436945.3630023,1178.68307098,1219.11088602,1492430400
4/17/2017 16:00:00,1225.10000171,1240,1222.565,1232.51130823,2157871.1452425,1752.95852282,1230.98813642,1492444800
4/17/2017 20:00:00,1232.52,1240.48624047,1229.76676897,1238.99999999,1951368.6804219,1580.16297321,1234.91608998,1492459200
4/18/2017 0:00:00,1238.99999999,1254.6,1236.50000223,1252.00000002,1550294.7925103,1244.72545718,1245.49135198,1492473600
4/18/2017 4:00:00,1254.59999999,1270,1248.63409373,1268.41798975,2175968.0977225,1728.79089666,1258.66471296,1492488000
4/18/2017 8:00:00,1268,1268,1256.00000001,1267.66999999,891880.01850144,706.93015263,1261.62395985,1492502400
4/18/2017 12:00:00,1267.66999999,1279.99999999,1253.65295172,1262.29999999,2405862.1766555,1899.22005933,1266.76325096,1492516800
4/18/2017 16:00:00,1262.29999999,1273.74999972,1255.10000001,1267.78899996,1510883.0458236,1193.39270285,1266.04012427,1492531200
4/18/2017 20:00:00,1266.99,1269.49999999,1261.5,1268.04810031,920187.53331365,727.03401182,1265.67329499,1492545600
4/19/2017 0:00:00,1265,1272,1260.60000001,1265.0000001,807438.111121,637.20124842,1267.16341677,1492560000
4/19/2017 4:00:00,1265.00000003,1271.18,1260.71000044,1264.40000035,1151094.1146777,909.83967156,1265.16149016,1492574400
4/19/2017 8:00:00,1264.40000035,1267.74999942,1257.00000001,1265.9999992,803050.64349965,636.45438943,1261.75678388,1492588800
4/19/2017 12:00:00,1264.00000048,1272.99999999,1259.10000001,1263,1005018.8483027,795.07945118,1264.04832474,1492603200
4/19/2017 16:00:00,1262.93380012,1272,1261.2000005,1266.65874999,832892.55697325,657.8688525,1266.04649818,1492617600
4/19/2017 20:00:00,1263.10931247,1293,1262.1,1262.88999999,1940625.2382601,1527.05680004,1270.82714815,1492632000
4/20/2017 0:00:00,1262.89,1270.06300003,1262.5,1264.50551758,754109.7474844,595.2891091,1266.7958072,1492646400
4/20/2017 4:00:00,1263.00000002,1272,1260,1270.99999975,648333.47822306,512.44397307,1265.17924357,1492660800
4/20/2017 8:00:00,1270.99999958,1277.49999982,1266.5,1273.21111113,933264.78925483,734.19128525,1271.1466453,1492675200
4/20/2017 12:00:00,1273,1303.72598853,1268.00000101,1297.00000035,2087526.6369673,1625.61030548,1284.14948523,1492689600
